,Sr.No._x,Accord Code_x,Company Name,GB+CWIP_1Y_CAGR,GB+CWIP_2Y_CAGR,GB+CWIP_3y_CAGR,FH_Market Capitalization,CONS_FH_1,GB+CWIP_CAPEX_SUM,ZSCORE_CAPEX,ZSCORE_MCAP,Stock Name,NSE Code,BSE Code,Stock Code,ISIN,Industry Name,Current Price,Current Price.1,Market Capitalization,PE TTM Price to Earnings,Forecaster Estimates 1Y forward PE,PE 3Yr Average,PE 5Yr Average,%Days traded below current PE Price to Earnings,Sector PE TTM,Industry PE TTM,PEG TTM PE to Growth,Forecaster Estimates 1Y forward PEG,Sector PEG TTM,Industry PEG TTM,Price to Book Value,%Days traded below current Price to Book Value,Sector Price to Book TTM,Industry Price to Book TTM,Basic EPS TTM,EPS TTM Growth %,ROE Annual %,Sector Return on Equity ROE,Industry Return on Equity ROE,RoA Annual %,Sector Return on Assets,Industry Return on Assets,Piotroski Score,sector_name,Industry Name.1,Latest financial result,Result Announced Date,Sr.No._y,Accord Code_y,FR_Adjusted PE (x),FR_Price / Book Value(x),FR_Dividend Yield(%),FR_EV/Net Sales(x),FR_EV/EBITDA(x),FR_EV/EBIT(x),FR_M Cap / Sales,ZSCORE_PE,ZSCORE_EVEBITDA,ZSCORE_FINAL
0,1,207778,Ashoka Buildcon Ltd.,181.524650472279,153.964218478909,85.3313221174951,2834.657342,C,420.82019106868313,0.5196782264627583,-0.25913950121487606,Ashoka Buildcon Ltd.,ASHOKA,533271.0,ASHOKA,INE442H01029,Roads & Highways,199.3,199.3,5594.81,3.7,Export NA,10.55,8.51,13.49,40.59,6.82,0.01,Export NA,3.35,3.73,1.98,39.39,4.65,1.81,53.84,365.96,22.65,12.67,10.32,2.63,5.35,3.73,8.0,Cement and Construction ,Roads & Highways,2024-12-31,2025-02-10,37,207778.0,19.9376321412035,2.68857241551669,0.783435926133184,1.65834177810545,10.5623185263822,12.8742740909824,1.44397852200535,-0.2704815433353074,-0.23698817479110232,0.20923206382203874
5,6,200101,Dhani Services Ltd.,470.385618654057,140.214111605514,79.0753644272376,915.586898905,C,689.6750946868086,1.4998111610139155,-0.6845477226104844,Dhani Services Ltd.,DHANI,532960.0,DHANI,INE274G01010,Other Financial Services,62.25,62.25,3810.62,-25.83,Export NA,,,,21.62,43.72,-0.37,Export NA,4.95,4.89,1.4,33.45,4.05,11.37,-2.41,69.63,-10.89,17.25,20.92,-8.29,2.86,14.05,2.0,Banking and Finance,Other Financial Services,2024-12-31,2025-01-31,110,200101.0,7.74188973817149,3.71959366902607,8.55920114122682,8.6204823912942,4.2071051245013,4.33269687671749,11.3184529336051,-0.3002634531512098,-0.26054843006483064,0.7068959637646484
13,15,132777,Info Edge (India) Ltd.,212.575917553312,81.3850181340662,88.3998042122545,10078.90944,C,382.3607398996327,0.3794710952992148,1.3467235933057389,Info Edge (India) Ltd.,NAUKRI,532777.0,NAUKRI,INE663F01024,Internet & Catalogue Retail,7085.5,7085.5,91816.81,164.21,Export NA,162.8,56.43,83.18,100.12,136.73,1.25,Export NA,3.94,1.87,2.2,,17.18,12.22,43.15,131.06,1.9,12.88,2.11,1.59,9.05,1.75,7.0,Retailing,Internet & Catalogue Retail,2024-12-31,2025-02-05,233,132777.0,51.990896632126,6.06826905570407,0.357824427480916,15.9956202216094,37.8083243698844,36.1537209405501,16.4864241198928,-0.19220771622195393,-0.1359808895483406,0.46420851526364726
14,16,200048,IRB Infrastructure Developers Ltd.,224.467360528107,120.353615849027,73.0916545882351,8624.583,C,417.9126309653691,0.5090784740383323,1.0243370824847915,IRB Infrastructure Developers Ltd.,IRB,532947.0,IRB,INE821I01022,Roads & Highways,48.6,48.6,29349.54,4.55,Export NA,45.18,57.13,12.97,40.59,6.82,0.0,Export NA,3.35,3.73,2.11,82.04,4.65,1.81,10.69,1079.85,4.4,12.67,10.32,1.34,5.35,3.73,6.0,Cement and Construction ,Roads & Highways,2024-12-31,2025-01-31,238,200048.0,62.3475609756098,4.01186409660009,1.62999185004075,5.25548081372169,23.1225401480196,23.1225401480196,4.40654918803131,-0.16691682098342178,-0.19042450981443956,0.47458036784017155
18,20,132468,Kama Holdings Ltd.,9.12063720143517,12.8629413037358,489.471906004726,585.9825,C,511.45548450989696,0.8500967345090931,-0.7576124824825656,Kama Holdings Ltd.,,532468.0,KAMAHOLD,INE411F01010,Holding Companies,2659.95,2659.95,8535.94,10.99,Export NA,8.29,8.65,82.47,29.46,29.52,3.22,Export NA,2.68,2.61,1.23,100.0,3.45,3.43,242.0,3.41,13.22,11.36,12.16,4.09,3.35,3.51,6.0,Diversified,Holding Companies,2024-12-31,2025-02-14,272,132468.0,20.5248116393869,1.27304475342168,1.65107319757843,19.9610833333333,20.1967116357504,20.1967116357504,19.53275,-0.26904765548471643,-0.20127123710385103,0.31150365495008586
19,21,100243,Kirloskar Industries Ltd.,5.27807987999251,486.88285654599,225.092152069449,515.53197,C,717.2530884954315,1.6003490334384856,-0.7732295406116789,Kirloskar Industries Ltd.,KIRLOSIND,500243.0,KIRLOSIND,INE250A01039,Other Industrial Products,3200.0,3200.0,3332.16,20.23,Export NA,16.29,12.94,95.77,52.89,29.3,-0.49,Export NA,4.08,3.31,0.48,28.0,13.34,21.45,158.22,-41.27,4.01,21.36,21.38,2.05,11.85,12.12,6.0,General Industrials,Other Industrial Products,2024-12-31,2025-02-10,283,100243.0,11.4231625595629,0.744629316758667,3.76647834274953,119.667483703507,7.3480908412542,7.47325233338429,152.060870719405,-0.29127381303326544,-0.24890406493998193,0.7515457241434307
22,25,100680,Pfizer Ltd.,1002.80771313812,232.567696349559,122.344682508864,10203.3382695,S,1357.720091996543,3.9352248165350825,1.3743062426234804,Pfizer Ltd.,PFIZER,500680.0,PFIZER,INE182A01018,Pharmaceuticals,4243.5,4243.5,19413.04,31.54,Export NA,35.28,37.37,28.67,40.48,40.18,1.4,Export NA,5.74,5.72,5.18,34.78,8.22,8.34,134.55,22.58,15.33,16.9,17.11,13.03,11.67,11.81,6.0,Pharmaceuticals & Biotechnology,Pharmaceuticals,2024-12-31,2025-01-31,374,100680.0,101.688308135612,5.17145795991911,0.560450153563342,5.1780381986711,21.2760444569634,40.0648677321904,5.50544270725419,-0.07084701684274725,-0.1972698991180069,2.60918444684967
23,26,100302,Piramal Enterprises Ltd.,17.3488842116104,14.0034175824697,51.8045484794748,14994.595,C,83.15685027355491,-0.7113015944370544,2.4364037864137704,Piramal Enterprises Ltd.,PEL,500302.0,PEL,INE140A01024,Finance (including NBFCs),1020.0,1020.0,22998.73,44.22,Export NA,2.16,14.59,81.63,21.62,37.14,0.35,Export NA,4.95,25.92,0.85,22.6,4.05,4.62,23.07,125.79,-6.33,17.25,15.84,-2.03,2.86,4.26,2.0,Banking and Finance,Finance (including NBFCs),2024-12-31,2025-01-27,376,100302.0,40.2279742632064,1.30993313438469,2.30149597238205,7.83532799480305,25.3156205852674,19.7377870322777,6.2440795199487,-0.22093268281976686,-0.18229425018821116,0.020177107319723653
29,33,220741,Sammaan Capital Ltd.,16.7048288830743,35.4779629708852,156.229163211609,19829.83026882,C,208.41195506556852,-0.25467368185234074,3.508250233290763,Sammaan Capital Ltd.,SAMMAANCAP,535789.0,SAMMAANCAP,INE148I01020,Housing Finance ,124.97,124.97,10364.75,-5.72,Export NA,10.62,10.69,,21.62,34.5,0.02,Export NA,4.95,0.91,0.52,33.78,4.05,3.94,-21.85,-256.54,6.13,17.25,13.79,1.66,2.86,2.65,5.0,Banking and Finance,Housing Finance ,2024-12-31,2025-02-11,422,220741.0,10.0240310732382,3.05573464238991,4.66200466200466,9.86935194628455,9.71014837772329,9.73757650909819,3.15183209708399,-0.29469048143845844,-0.24014736787706742,0.4953620526151956
30,34,112161,Securekloud Technologies Ltd.,61.415485615066,712.343772230246,139.688103979321,734.17263945,C,913.447361824633,2.3155915909386273,-0.7247625660667194,Securekloud Technologies Ltd.,SECURKLOUD,512161.0,SECURKLOUD,INE650K01021,Internet Software & Services,31.18,31.18,104.17,-3.08,Export NA,,50.3,,27.64,52.8,0.13,Export NA,5.09,1.36,-11.02,,8.69,8.09,-10.12,-24.55,0.0,31.36,7.15,-18.61,19.49,5.24,3.0,Software & Services,Internet Software & Services,2024-12-31,2025-02-14,430,112161.0,1042.52350176263,21.1328222028864,0.0,58.8485207274472,129.157052089765,481.160684454018,59.2535663752163,2.2266653413438986,0.20267010577051411,1.4873359860612738
