,Sr.No._x,Accord Code_x,Company Name,GB+CWIP_1Y_CAGR,GB+CWIP_2Y_CAGR,GB+CWIP_3y_CAGR,FH_Market Capitalization,CONS_FH_1,GB+CWIP_CAPEX_SUM,ZSCORE_CAPEX,ZSCORE_MCAP,Stock Name,NSE Code,BSE Code,Stock Code,ISIN,Industry Name,Current Price,Current Price.1,Market Capitalization,PE TTM Price to Earnings,Forecaster Estimates 1Y forward PE,PE 3Yr Average,PE 5Yr Average,%Days traded below current PE Price to Earnings,Sector PE TTM,Industry PE TTM,PEG TTM PE to Growth,Forecaster Estimates 1Y forward PEG,Sector PEG TTM,Industry PEG TTM,Price to Book Value,%Days traded below current Price to Book Value,Sector Price to Book TTM,Industry Price to Book TTM,Basic EPS TTM,EPS TTM Growth %,ROE Annual %,Sector Return on Equity ROE,Industry Return on Equity ROE,RoA Annual %,Sector Return on Assets,Industry Return on Assets,Piotroski Score,sector_name,Industry Name.1,Latest financial result,Result Announced Date,Sr.No._y,Accord Code_y,FR_Adjusted PE (x),FR_Price / Book Value(x),FR_Dividend Yield(%),FR_EV/Net Sales(x),FR_EV/EBITDA(x),FR_EV/EBIT(x),FR_M Cap / Sales,ZSCORE_PE,ZSCORE_EVEBITDA,ZSCORE_FINAL
0,1,207654,A2Z Infra Engineering Ltd.,102.802006074697,153.864498613199,240.164260641122,837.46616526,C,496.83076532901805,1.099226892089253,-0.6162477057134541,A2Z Infra Engineering Ltd.,A2ZINFRA,533292.0,A2ZINFRA,INE619I01012,Construction & Engineering,14.86,14.86,261.71,69.81,Export NA,,,73.99,40.59,34.35,0.66,Export NA,3.35,2.78,6.93,85.45,4.65,5.61,0.21,105.51,-20.67,12.67,15.97,-0.83,5.35,5.27,4.0,Cement and Construction ,Construction & Engineering,2024-12-31,2025-02-12,3,207654.0,42.4372274845888,0.729517070657147,0.0,1.48952459883616,12.6899614876137,13.5216528237466,0.864944718219166,-0.0427162288237838,-0.20615843523342303,0.5113991277051402
2,3,209867,Adani Power Ltd.,48.0366508210536,66.7120713881984,84.3049604144729,14889.6732,C,199.0536826237249,-0.21273394534420573,3.0447385560859677,Adani Power Ltd.,ADANIPOWER,533096.0,ADANIPOWER,INE814H01011,Electric Utilities,579.4,579.4,223471.04,17.14,Export NA,12.32,19.83,65.18,25.86,32.17,-0.39,Export NA,2.11,1.91,3.99,37.52,4.97,4.98,33.81,-44.12,58.53,19.18,19.85,22.56,7.09,6.72,8.0,Utilities,Electric Utilities,2024-12-31,2025-04-30,7,209867.0,0.0,2.5271171562604,0.0,9.8202130454259,26.1748029923841,41.678997615416,3.76832593065015,-0.23445364284562692,-0.1376116540523393,0.44410081432087356
8,9,220519,Bajaj Consumer Care Ltd.,249.755381995795,111.095194279331,134.37053426306,1706.575,C,495.221110538186,1.092134996271841,-0.3898209603541251,Bajaj Consumer Care Ltd.,BAJAJCON,533229.0,BAJAJCON,INE933K01021,Personal Products,175.5,175.5,2405.28,18.52,Export NA,20.3,17.03,54.03,53.52,52.48,-0.98,Export NA,10.76,14.98,3.47,16.27,22.28,15.43,9.48,-18.99,18.71,42.17,29.75,15.8,19.26,17.43,6.0,FMCG,Personal Products,2024-12-31,2025-02-14,35,220519.0,14.2111404532334,3.98870590237087,3.45721694036301,3.54784691876251,10.903181843268,11.0903462199659,3.60558207890015,-0.17024569425158417,-0.2152410776401915,0.538768128503102
20,24,132922,Edelweiss Financial Services Ltd.,9.21744257434103,180.242855905367,111.591865559301,2077.416,C,301.052164039009,0.23665595356542768,-0.29320668453570176,Edelweiss Financial Services Ltd.,EDELWEISS,532922.0,EDELWEISS,INE532F01054,Other Financial Services,85.45,85.45,8082.13,17.47,Export NA,19.51,23.73,55.13,21.62,43.72,1.13,Export NA,4.95,4.89,1.6,67.09,4.05,11.37,4.89,15.39,8.83,17.25,20.92,0.98,2.86,14.05,8.0,Banking and Finance,Other Financial Services,2024-12-31,2025-02-07,99,132922.0,30.2679457492557,1.53961586235315,2.18579234972678,21.6781412025069,31.8124078171091,32.202193558575,10.0382022797667,-0.09769877006739741,-0.10895431579818633,0.06268692664555786
21,25,132843,Fortis Healthcare Ltd.,226.990407866843,91.2060108933442,83.4068535638866,4061.9264925,C,401.60327232407377,0.6796689451363569,0.22381285776666013,Fortis Healthcare Ltd.,FORTIS,532843.0,FORTIS,INE061F01013,Healthcare Facilities,676.5,676.5,51072.92,66.41,Export NA,58.68,51.47,78.24,64.96,76.58,1.7,Export NA,5.87,7.44,6.51,99.89,11.22,11.02,10.19,39.14,7.81,17.25,13.5,4.5,9.68,7.6,6.0,Diversified Consumer Services,Healthcare Facilities,2024-12-31,2025-02-07,122,132843.0,20.169808663461,1.26924283435866,0.0,18.3393874229104,39.1358279259328,16.9509317923866,14.4408803497017,-0.14332358596686867,-0.07172756192650752,0.43105882384580857
23,27,123574,Future Enterprises Ltd.,91.8696845457934,99.9730922368297,103.975947834626,5579.4825,C,295.81872461724913,0.21359821015531888,0.6191779190153094,Future Enterprises Ltd.,FEL,523574.0,FEL,INE623B01027,Specialty Retail,0.64,0.64,29.12,-0.04,Export NA,,,,100.12,51.49,0.0,Export NA,3.94,2.47,-0.07,,17.18,9.52,-14.9,70.83,-928.08,12.88,18.01,-29.06,9.05,10.76,2.0,Retailing,Specialty Retail,2023-03-31,2022-02-14,124,123574.0,44.2921528935461,3.12861744898703,0.171306209850107,1.44454981985997,15.9717785711303,19.3386144745823,1.05355153440033,-0.034335412681964904,-0.1894761481319711,0.22961335381485962
25,29,132424,Godrej Consumer Products Ltd.,21.9498954711882,140.928827523001,96.9644648602494,16322.4895,C,259.8431878544386,0.055095430459653295,3.418026593830804,Godrej Consumer Products Ltd.,GODREJCP,532424.0,GODREJCP,INE102D01028,Personal Products,1266.0,1266.0,129512.81,-285.96,Export NA,70.08,60.85,,53.52,52.48,2.28,Export NA,10.76,14.98,10.64,76.69,22.28,15.43,-4.43,-125.38,-4.44,42.17,29.75,-3.03,19.26,17.43,4.0,FMCG,Personal Products,2024-12-31,2025-05-06,134,132424.0,27.00640744119,6.47173389846637,0.990305431043469,5.43288753993181,26.0757601868256,20.8634307105487,5.47719843091461,-0.11243486283285423,-0.13811511310432575,0.6916075794482348
38,42,132627,Jaiprakash Power Ventures Ltd.,53.9282992037133,67.8576794935869,106.623405266693,10669.6494,C,228.4093839639932,-0.08339716037764287,1.9453063374976483,Jaiprakash Power Ventures Ltd.,JPPOWER,532627.0,JPPOWER,INE351F01018,Electric Utilities,15.76,15.76,10801.05,8.66,Export NA,71.58,37.9,7.32,25.86,32.17,0.04,Export NA,2.11,1.91,0.9,83.88,4.97,4.98,1.82,220.34,13.33,19.18,19.85,5.9,7.09,6.72,9.0,Utilities,Electric Utilities,2024-12-31,2025-02-01,197,132627.0,26.4786347055758,1.95236036596523,0.0,15.3298295327936,15.9526047832836,18.7276998578385,6.60430401842086,-0.11481941492346028,-0.18957361323302366,0.3085836684572955
39,43,112233,Jaybharat Textiles & Real Estate Ltd.,415.946745806366,282.155400095075,422.259410786303,1766.7950625,C,1120.361556687744,3.84640935409945,-0.3741319784773162,Jaybharat Textiles & Real Estate Ltd.,,512233.0,JAYTEX,INE091E01039,Textiles,25.27,25.27,967.43,-24.79,Export NA,-47.69,-47.69,,65.84,31.53,-0.36,Export NA,4.31,6.74,-2.11,,17.98,4.44,-1.02,69.26,0.0,26.33,15.41,-9.22,10.65,10.79,1.0,Textiles Apparels & Accessories,Textiles,2019-12-31,2020-02-08,199,112233.0,55.6378010127443,27.1720567880349,0.0722282412423258,7.67744586577931,37.4723153116899,46.1786380181564,7.07138914081661,0.01692583504131879,-0.08018360756264957,2.2266934395120734
40,44,200007,Jyothy Labs Ltd.,265.021722624424,99.0453091336317,65.730586648443,1298.57836,C,429.7976184064987,0.8038889742975516,-0.49611530189119896,Jyothy Labs Ltd.,JYOTHYLAB,532926.0,JYOTHYLAB,INE668F01031,Personal Products,390.95,390.95,14356.25,38.56,Export NA,48.85,41.84,62.18,53.52,52.48,6.16,Export NA,10.76,14.98,7.61,85.83,22.28,15.43,10.14,6.26,20.43,42.17,29.75,15.38,19.26,17.43,8.0,FMCG,Personal Products,2024-12-31,2025-01-31,212,200007.0,15.548968873098,1.92808815129553,1.55231294628997,2.71547222776566,12.8978845872984,14.6889942493826,1.95732100900931,-0.1642011956631003,-0.20510151074443014,0.34618005355953807
