,Sr.No._x,Accord Code_x,Company Name,GB+CWIP_1Y_CAGR,GB+CWIP_2Y_CAGR,GB+CWIP_3y_CAGR,FH_Market Capitalization,CONS_FH_1,GB+CWIP_CAPEX_SUM,ZSCORE_CAPEX,ZSCORE_MCAP,Stock Name,NSE Code,BSE Code,Stock Code,ISIN,Industry Name,Current Price,Current Price.1,Market Capitalization,PE TTM Price to Earnings,Forecaster Estimates 1Y forward PE,PE 3Yr Average,PE 5Yr Average,%Days traded below current PE Price to Earnings,Sector PE TTM,Industry PE TTM,PEG TTM PE to Growth,Forecaster Estimates 1Y forward PEG,Sector PEG TTM,Industry PEG TTM,Price to Book Value,%Days traded below current Price to Book Value,Sector Price to Book TTM,Industry Price to Book TTM,Basic EPS TTM,EPS TTM Growth %,ROE Annual %,Sector Return on Equity ROE,Industry Return on Equity ROE,RoA Annual %,Sector Return on Assets,Industry Return on Assets,Piotroski Score,sector_name,Industry Name.1,Latest financial result,Result Announced Date,Sr.No._y,Accord Code_y,FR_Adjusted PE (x),FR_Price / Book Value(x),FR_Dividend Yield(%),FR_EV/Net Sales(x),FR_EV/EBITDA(x),FR_EV/EBIT(x),FR_M Cap / Sales,ZSCORE_PE,ZSCORE_EVEBITDA,ZSCORE_FINAL
0,1,210591,Aditya Birla Fashion and Retail Ltd.,22.8836237741279,55.0729874953426,36.1048038098727,18415.38125,C,114.06141507934319,-0.27558638710903494,3.3750294799305514,Aditya Birla Fashion and Retail Ltd.,ABFRL,535755.0,ABFRL,INE647O01011,Department Stores,272.9,272.9,33300.92,-53.01,Export NA,,,,100.12,102.7,7.24,Export NA,3.94,5.74,7.83,42.71,17.18,22.03,-5.15,-7.32,-15.56,12.88,21.08,-2.8,9.05,14.12,2.0,Retailing,Department Stores,2024-12-31,2025-02-14,5,210591.0,0.0,6.9836708167104,0.0,3.73832037929876,27.9366535171857,-76.9548303468552,3.55431068259109,-0.22314159692708221,-0.09300608070554683,0.47803929595742645
4,6,226691,Balaxi Pharmaceuticals Ltd.,1372.97587131367,1459.18630923397,562.674110133523,524.5,C,3394.8362906811626,7.24553825239845,-0.7398058057989854,Balaxi Pharmaceuticals Ltd.,BALAXI,,BALAXI,INE618N01022,Pharmaceuticals,62.44,62.44,344.72,12.6,Export NA,11.56,12.65,46.51,40.48,40.18,0.02,Export NA,5.74,5.72,1.6,14.84,8.22,8.34,4.96,624.21,-1.18,16.9,17.11,-0.92,11.67,11.81,3.0,Pharmaceuticals & Biotechnology,Pharmaceuticals,2024-12-31,2025-02-10,52,226691.0,34.6584376280281,12.1284015021181,0.0,6.07253957583181,25.3232461909197,25.4300603057225,6.03767416589157,-0.16766645800453212,-0.11582754527915434,4.171012389950904
6,8,100043,Bata India Ltd.,-11.2745806675451,60.125726444181,44.1702430756634,18053.68552,C,93.0213888522993,-0.3238203152730561,3.2918408246762607,Bata India Ltd.,BATAINDIA,500043.0,BATAINDIA,INE176A01028,Footwear,1231.8,1231.8,15832.02,45.44,Export NA,65.15,114.84,3.62,100.12,60.9,1.43,Export NA,3.94,2.15,10.78,59.03,17.18,11.49,27.11,31.72,17.19,12.88,18.34,7.83,9.05,9.72,7.0,Retailing,Footwear,2024-12-31,2025-02-10,60,100043.0,0.0,10.259099054253,0.284768447656,9.93389061904212,65.2910029950493,-1772.03233935848,10.5744134565767,-0.22314159692708221,0.2331891337607839,0.46508072945478873
10,12,126612,Blue Dart Express Ltd.,9.00393733768954,55.8794813258394,45.057043891481,13229.7123,C,109.94046255500994,-0.285033605752258,2.182345157822492,Blue Dart Express Ltd.,BLUEDART,526612.0,BLUEDART,INE233B01017,Warehousing & Logistics,6559.0,6559.0,15563.13,56.58,Export NA,49.91,72.03,46.76,32.6,37.34,-9.4,Export NA,1.61,6.02,10.92,10.57,19.63,5.27,115.92,-6.02,22.01,132.52,13.61,8.69,8.54,8.59,5.0,Transportation,Warehousing & Logistics,2024-12-31,2025-01-29,77,126612.0,137.365778178575,19.4798090259884,0.269053469892917,3.98343821081197,33.5597685530068,80.2634533390674,4.03381781870293,-0.0032705886189038653,-0.043902475885297214,0.26073156166272354
14,16,221842,CreditAccess Grameen Ltd.,6.27027550476928,270.48723053905,173.060130826339,10430.8611,C,449.8176368701583,0.49412945391331187,1.5386199261620084,CreditAccess Grameen Ltd.,CREDITACC,541770.0,CREDITACC,INE741K01010,Microfinance Institutions,1135.85,1135.85,18137.18,20.58,Export NA,19.85,37.66,25.65,21.62,18.78,-0.6,Export NA,4.95,0.55,2.6,17.86,4.05,2.38,55.19,-34.5,22.0,17.25,15.75,5.01,2.86,2.51,4.0,Banking and Finance,Microfinance Institutions,2024-12-31,2025-01-24,111,221842.0,73.2556106728437,2.87645530280259,0.0,8.51449661947243,17.9403475721901,18.3880155704183,5.14395529122838,-0.10588688329723814,-0.18029838286519856,0.5755831309641452
19,22,284232,Happiest Minds Technologies Ltd.,115.868017524644,37.8356794850343,25.1225584526299,7661.3185,C,178.8262554623082,-0.1271140123659389,0.9016355620848546,Happiest Minds Technologies Ltd.,HAPPSTMNDS,543227.0,HAPPSTMNDS,INE419U01012,IT Consulting & Software,596.35,596.35,9080.91,40.79,Export NA,52.08,72.55,4.04,27.64,26.51,-8.35,Export NA,5.09,5.29,5.95,0.62,8.69,8.78,14.62,-4.89,16.78,31.36,33.12,11.05,19.49,20.52,4.0,Software & Services,IT Consulting & Software,2024-12-31,2025-02-04,210,284232.0,47.3124496303304,14.1076833130777,0.555452693945566,10.1226983021447,36.1472008446739,40.0216579207149,10.0679648076114,-0.1474121383698915,-0.021307837159286924,0.08718670744448978
33,38,300435,Nureca Ltd.,240.578439964943,153.021282420068,430.691857946223,602.1,C,824.291580331234,1.3526050609913445,-0.72195809814777,Nureca Ltd.,NURECA,543264.0,NURECA,INE0DSF01015,Healthcare Supplies,249.93,249.93,249.93,-43.34,Export NA,,,,75.15,76.88,0.05,Export NA,2.27,2.27,1.29,3.12,9.44,9.94,-5.77,-801.58,-0.92,17.33,18.03,-0.87,10.91,11.26,1.0,Healthcare Equipment & Supplies,Healthcare Supplies,2024-12-31,2025-01-24,382,300435.0,12.9389263764129,3.68725963305,0.33217073575818,2.2355213260145,7.39400610862184,7.44119207364644,2.8223746197224,-0.2024312364098591,-0.2723938460075153,0.6196889087235152
37,43,105509,Responsive Industries Ltd.,78.8717425386057,33.650338683451,21.5877330211829,4411.14445,C,134.1098142432396,-0.2296257483417673,0.1541077752296108,Responsive Industries Ltd.,RESPONIND,505509.0,RESPONIND,INE688D01026,Furniture-Furnishing,196.8,196.8,5246.86,27.54,Export NA,159.33,82500.93,2.35,64.96,48.74,0.69,Export NA,5.87,0.7,4.25,77.96,11.22,4.12,7.14,40.16,14.18,17.25,10.93,10.43,9.68,7.66,8.0,Diversified Consumer Services,Furniture-Furnishing,2024-12-31,2025-02-10,444,105509.0,688.447357640311,6.74339412590693,0.059506099375186,13.065312973556,73.9949519082081,224.3158423964,12.2470547038185,0.878804001886447,0.30919598496065126,0.011846104725571627
42,49,211969,Sheela Foam Ltd.,11.7553103444008,60.7174832143509,35.485106320541,9640.456936,C,107.95789987929271,-0.28957859940622505,1.356829946195831,Sheela Foam Ltd.,SFL,540203.0,SFL,INE916U01025,Furniture-Furnishing,668.0,668.0,7260.98,52.15,Export NA,56.63,60.95,45.67,64.96,48.74,-3.62,Export NA,5.87,0.7,2.42,0.14,11.22,4.12,12.81,-14.4,6.24,17.25,10.93,3.41,9.68,7.66,3.0,Diversified Consumer Services,Furniture-Furnishing,2024-12-31,2025-01-31,480,211969.0,53.2183617082012,9.51323454774608,0.0,5.67044744070378,33.7412940852456,38.0938650719901,5.69141239400985,-0.13795899173643522,-0.04231731215610845,0.07959119920617683
45,54,103310,Swan Energy Ltd.,106.861109030216,65.9712364290345,69.0951357559653,3319.45263,C,241.92748121521583,0.017544552085625144,-0.096977230551102,Swan Energy Ltd.,SWANENERGY,503310.0,SWANENERGY,INE665A01038,Commodity Trading  & Distribution,435.35,435.35,13646.35,17.07,Export NA,77.13,77.13,4.97,56.77,66.92,0.18,Export NA,9.47,11.64,2.11,10.83,7.9,8.12,25.51,96.63,4.79,11.62,9.53,2.47,5.38,2.68,6.0,Commercial Services & Supplies,Commodity Trading  & Distribution,2024-12-31,2025-02-14,527,103310.0,4500.0,3.4548617921075,0.0735835172921266,14.3276779683965,166.73955788785,223.751301740394,13.1415276219493,6.979667942000153,1.1190841789995447,0.8010064972411244
